@relation 'obj1-train-weka.filters.unsupervised.attribute.Remove-V-R1-5,8-9,11,13,16-19,21-22,25-28,31-34,36,39-40,42,45,47-48,51-52,55,59-64,66-67,69-70,72,79-82,85,87-88,93,97,100-101,103-104,107,130,147,152-153,158,163,173,186-187,192,198,204-206,215,220,224,229,234,237,239,245,250,252,256-258,261-265'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a11 numeric
@attribute a13 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a36 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a42 numeric
@attribute a45 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a55 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a72 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a85 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a93 numeric
@attribute a97 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a107 numeric
@attribute a130 numeric
@attribute a147 numeric
@attribute a152 numeric
@attribute a153 numeric
@attribute a158 numeric
@attribute a163 numeric
@attribute a173 numeric
@attribute a186 numeric
@attribute a187 numeric
@attribute a192 numeric
@attribute a198 numeric
@attribute a204 numeric
@attribute a205 numeric
@attribute a206 numeric
@attribute a215 numeric
@attribute a220 numeric
@attribute a224 numeric
@attribute a229 numeric
@attribute a234 numeric
@attribute a237 numeric
@attribute a239 numeric
@attribute a245 numeric
@attribute a250 numeric
@attribute a252 numeric
@attribute a256 numeric
@attribute a257 numeric
@attribute a258 numeric
@attribute a261 numeric
@attribute a262 numeric
@attribute a263 numeric
@attribute a264 numeric
@attribute clase {false,true}

@data
0.00041,0.000876,0.002214,0.003848,0.005908,0.00335,0.00304,0.003359,0.004199,0.0057,0.004779,0.004339,0.00485,0.005003,0.004443,0.002656,0.002318,0.001872,0.001592,0.001315,0.001354,0.001354,0.001357,0.001387,0.001475,0.001667,0.001475,0.001364,0.001156,0.00124,0.001419,0.001328,0.001286,0.001572,0.001846,0.001849,0.002126,0.002093,0.00195,0.002181,0.002132,0.002148,0.002223,0.002646,0.003822,0.003753,0.004355,0.004447,0.006995,0.007145,0.00735,0.011396,0.003851,0.004209,0.003864,0.004805,0.00429,0.00471,0.00723,0.00348,0.002721,0.003132,0.003226,0.002796,0.003193,0.004281,0.004372,0,0.003604,0.005026,0.00569,0.005586,0.006191,0.008538,0.010472,0.002015,0.001719,0.001748,0.001813,0.001383,0.002031,0.002295,0.010752,0,0.392557,0,0,0,0,false
0.122946,0,0.34042,0,0.228389,0,0,0,0,0.013236,0,0.011175,0,0,0.005299,0.003109,0,0.001634,0,0.000407,0,0.000182,0,0,0,0.000094,0.000075,0,0,0.000072,0,0.000065,0.000062,0.000042,0,0.000042,0,0.000042,0,0,0.000042,0,0.000049,0.000039,0,0.000029,0,0.000023,0.000033,0.000026,0,0.000055,0.000023,0.000026,0,0,0.00002,0,0.000029,0.000003,0,0.000003,0,0,0,0,0,0,0.000003,0,0.000007,0,0.000007,0.000003,0.000003,0,0,0.000007,0.000003,0.000003,0,0,0.000003,0.222426,0.777574,0,0,0,0,false
0.050374,0,0,0,0,0.152627,0,0,0,0.168184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053464,0,0,0,0.038363,0,0.026901,0,0,0,0,0,0,0.019196,0,0,0,0,0,0.003633,0,0,0,0.001729,0,0,0,0,0.000257,0,0,0,0.000007,0,0,0,0,0,0,0,0,0,0,0.000003,0,0,0.000003,0,0,0,0,0,0,0,0,0.000003,1,0,0,0,0,0,false
0.000137,0.000697,0.001104,0.001527,0.002223,0.002725,0.003031,0.003669,0.005195,0.008636,0.008171,0.00859,0.010117,0.010895,0.011842,0.012008,0.010938,0.009746,0.008896,0.006266,0.005459,0.006058,0.005869,0.005863,0.005674,0.005684,0.005775,0.006839,0.007471,0.008955,0.009036,0.01016,0.010127,0.011061,0.011338,0.012949,0.012021,0.011742,0.011445,0.012764,0.011895,0.010794,0.011172,0.012809,0.009642,0.007018,0.005944,0.005264,0.004883,0.004893,0.004951,0.008115,0.005124,0.004466,0.004499,0.004434,0.004124,0.00321,0.001504,0.000833,0.000824,0.000755,0.000602,0.000573,0.000381,0.000361,0.000299,0,0.000283,0.000329,0.000417,0.000459,0.001025,0.00151,0.001117,0.000973,0.001159,0.001178,0.001019,0.000993,0.001104,0.004443,0.062845,0,0,0.036867,0,0,0,true
0.000918,0.005111,0.001859,0.000693,0.000384,0.00015,0.000169,0.000117,0.000117,0.001634,0.010719,0.019538,0.027799,0.053428,0.04346,0.013125,0.007956,0.005589,0.003757,0.002406,0.002008,0.001641,0.001572,0.002399,0.003633,0.002581,0.002298,0.002031,0.001963,0.002279,0.003265,0.005723,0.015016,0.016771,0.013457,0.014688,0.012594,0.012008,0.009248,0.010075,0.011152,0.009362,0.010768,0.010283,0.010358,0.010798,0.012516,0.012412,0.009922,0.010003,0.009323,0.007959,0.006634,0.005973,0.004499,0.003359,0.003018,0.002549,0.002158,0.000671,0.000576,0.0007,0.000648,0.000758,0.00069,0.000817,0.000817,0,0.000938,0.000671,0.000583,0.00055,0.000339,0.000273,0.000267,0.000257,0.000225,0.000215,0.000179,0.000166,0.000205,0.001136,0.015192,0,0.540686,0.067746,0.154544,0.000275,0,false
0.00002,0.000563,0.002578,0.002057,0.001322,0.001185,0.001361,0.001628,0.002044,0.002301,0.002044,0.001436,0.001374,0.001413,0.001556,0.001191,0.001335,0.001608,0.00167,0.001624,0.001813,0.001924,0.002168,0.001872,0.002126,0.002399,0.002327,0.002406,0.002214,0.001999,0.00193,0.001829,0.001647,0.001488,0.001582,0.001589,0.001592,0.00165,0.00168,0.001481,0.001543,0.001715,0.001709,0,0.002344,0.002676,0.002676,0.002754,0.003434,0.004329,0.004886,0.005677,0.00429,0,0.003714,0.002767,0.002663,0.002409,0.005824,0.003158,0.003291,0.002699,0.0029,0.002591,0.002337,0.007197,0.007474,0.008382,0.010592,0.010247,0.011211,0.011742,0.009411,0.009388,0.008968,0.009225,0.000156,0.000036,0.000039,0.000023,0.000055,0.00001,0.000003,0,0.293253,0.060768,0.124221,0,0.001041,false
0.000062,0.001882,0.003503,0.003623,0.003451,0.002256,0.002165,0.001758,0.001751,0.002233,0.0021,0.002246,0.002646,0.002311,0.002077,0.001657,0.001882,0.002103,0.002275,0.00234,0.002526,0.002409,0.002181,0.002181,0.00263,0.00265,0.002972,0.003662,0.003447,0.003607,0.007995,0.010114,0.010911,0.006169,0.006292,0.006826,0.006455,0.006699,0.0068,0.006914,0.007168,0.005713,0.005814,0.006117,0.007865,0.006989,0.007103,0.007279,0.008662,0.008932,0.009076,0.010677,0.01194,0.013913,0.014518,0.015007,0.013812,0.015371,0.00777,0.001243,0.000697,0.000602,0.000615,0.000596,0.000335,0.000322,0.000277,0,0.000189,0.000133,0.000107,0.000117,0.000124,0.00012,0.000166,0.000156,0.000189,0.000192,0.000195,0.000169,0.000225,0.000309,0.001742,0,0.395158,0.058968,0.000699,0,0,false
0.00112,0.011706,0.009264,0.007754,0.00611,0.002969,0.003167,0.003232,0.003662,0.005026,0.005117,0.004928,0.006221,0.007721,0.007578,0.007197,0.006595,0.00612,0.005488,0.004645,0.004531,0.004469,0.004017,0.003825,0.003851,0.003958,0.003607,0.004593,0.005036,0.005534,0.005407,0.005726,0.005417,0.0086,0.009255,0.008698,0.008018,0.007048,0.00694,0.005924,0.004749,0.003538,0.003285,0.003076,0.003682,0.003444,0.003656,0.003883,0.004014,0.003975,0.003714,0.004307,0.004076,0.003903,0.003978,0.004476,0.004219,0.004909,0.006566,0.003141,0.003828,0.003919,0.003844,0.003424,0.002129,0.001963,0.002165,0,0.002295,0.002266,0.001774,0.001849,0.000905,0.001012,0.001296,0.003639,0.002959,0.002555,0.003252,0.000999,0.000811,0.000954,0.000492,0.101307,0.147235,0.000008,0,0,0,false
0.000039,0.000397,0.000755,0.000872,0.001426,0.004805,0.005547,0.005264,0.006087,0.007516,0.006686,0.006253,0.006657,0.006829,0.007106,0.005781,0.005788,0.005397,0.005553,0.004222,0.0043,0.004287,0.00416,0.004915,0.005788,0.005485,0.006029,0.006068,0.006305,0.006123,0.004108,0.004375,0.003877,0.004036,0.004248,0.004928,0.00569,0.005664,0.005339,0.005687,0.005316,0.004964,0.005492,0.006419,0.004876,0.004277,0.004076,0.004017,0.003314,0.002952,0.003278,0.00363,0.003249,0.002145,0.001947,0.001667,0.001497,0.001429,0.002243,0.002718,0.002256,0.002214,0.00252,0.004049,0.004137,0.006452,0.006152,0,0.006162,0.007038,0.006842,0.006452,0.006357,0.005472,0.004219,0.004811,0.000807,0.000036,0.000026,0.000166,0.000029,0.000007,0.000124,0,0.29081,0,0,0,0,false
0.000391,0.000944,0.001064,0.001689,0.002995,0.004932,0.005381,0.007269,0.009603,0.011406,0.010889,0.011012,0.011729,0.01403,0.012614,0.012298,0.013971,0.014554,0.012702,0.013011,0.013548,0.01123,0.009619,0.009271,0.008271,0.007425,0.007533,0.013141,0.009385,0.009941,0.006234,0.007262,0.007233,0.006816,0.006475,0.008122,0.008223,0.0071,0.00623,0.005882,0.006198,0.006032,0.006979,0.005661,0.004388,0.004141,0.004069,0.00415,0.003962,0.003913,0.003783,0.0036,0.003132,0.002806,0.002998,0.002907,0.002708,0.002663,0.003024,0.001556,0.001253,0.001243,0.001087,0.001003,0.000931,0.00082,0.000726,0,0.000547,0.000505,0.000488,0.000573,0.000615,0.000534,0.000729,0.001221,0.000765,0.000739,0.00069,0.00055,0.000723,0.004258,0.057132,0,0,0.249369,0.168857,0,0,true
