@relation obj6-train

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute clase {false,true}

@data
0.00041,0.000876,0.002214,0.003848,0.005908,0.003678,0.00335,0.00304,0.003359,0.004199,0.004557,0.0057,0.004779,0.001315,0.001354,0.00125,0.001419,0.00124,0.001328,0.001497,0.001846,0,0.002181,0.002148,0.002223,0.002646,0.002725,0.006995,0.003757,0.003564,0.005107,0.002799,0.004281,0,0.003678,0.005026,0.005742,0.007969,0.001693,0.001813,0.001631,0.002295,0.00291,0.00514,0,0.392557,0.340111,0.267332,0,0,0,0,false
0.122946,0,0.34042,0,0.228389,0.127308,0,0,0,0,0.017965,0.013236,0,0.000407,0.000182,0.00013,0.000088,0.000072,0.000065,0.000046,0,0.000023,0,0,0.000049,0.000039,0.000042,0.000033,0.00001,0,0.000007,0.000013,0,0,0,0,0,0,0,0.000003,0,0,0,0,0.222426,0.777574,0,0,0,0,0,0,false
0.050374,0,0,0,0,0,0.152627,0,0,0,0,0.168184,0,0,0,0,0.097435,0,0.038363,0,0,0,0,0,0,0,0.008464,0,0,0.000016,0.000013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false
0.000137,0.000697,0.001104,0.001527,0.002223,0.002253,0.002725,0.003031,0.003669,0.005195,0.006608,0.008636,0.008171,0.006266,0.006058,0.005605,0.005745,0.008955,0.01016,0.010895,0.011338,0,0.012764,0.010794,0.011172,0.012809,0.011644,0.004883,0.002233,0.002253,0.00167,0.000599,0.000361,0,0.000355,0.000329,0.000856,0.001341,0.001185,0.001019,0.001025,0.004443,0.002487,0.003346,0,0,0.401101,0.562032,0.036867,0,0,0,false
0.000918,0.005111,0.001859,0.000693,0.000384,0.000251,0.00015,0.000169,0.000117,0.000117,0.000199,0.001634,0.010719,0.002406,0.001641,0.001787,0.003018,0.002279,0.005723,0.021429,0.013457,0,0.010075,0.009362,0.010768,0.010283,0.008678,0.009922,0.001774,0.001839,0.001891,0.000771,0.000817,0,0.000856,0.000671,0.000452,0.000335,0.000234,0.000179,0.000166,0.001136,0.0011,0.000911,0,0.540686,0.118177,0.118573,0.067746,0.154544,0.000275,0,true
0.00002,0.000563,0.002578,0.002057,0.001322,0.001003,0.001185,0.001361,0.001628,0.002044,0.00208,0.002301,0.002044,0.001624,0.001924,0.00195,0.002028,0.001999,0.001829,0.001331,0.001582,0.001624,0.001481,0.001715,0.001709,0,0.001615,0.003434,0.004746,0.004658,0.006735,0.003057,0.007197,0.008382,0.009665,0.010247,0,0.008848,0.000609,0.000039,0,0.00001,0.000003,0,0,0.293253,0.383904,0.136814,0.060768,0.124221,0,0.001041,false
0.000062,0.001882,0.003503,0.003623,0.003451,0.002471,0.002256,0.002165,0.001758,0.001751,0.001667,0.002233,0.0021,0.00234,0.002409,0.002119,0.002396,0.003607,0.010114,0.010758,0.006292,0,0.006914,0.005713,0.005814,0.006117,0.005596,0.008662,0.011299,0.011009,0.009248,0.000514,0.000322,0,0.000163,0.000133,0.000153,0.000156,0.00015,0.000195,0.00014,0.000309,0.000365,0.000596,0,0.395158,0.399987,0.145189,0.058968,0.000699,0,0,true
0.00112,0.011706,0.009264,0.007754,0.00611,0.002871,0.002969,0.003167,0.003232,0.003662,0.004108,0.005026,0.005117,0.004645,0.004469,0.004063,0.004033,0.005534,0.005726,0.00721,0.009255,0,0.005924,0.003538,0.003285,0.003076,0.003099,0.004014,0.007331,0.008262,0.008083,0.0043,0.001963,0,0.002464,0.002266,0.001032,0.000967,0.003128,0.003252,0.001943,0.000954,0.000557,0.000638,0.101307,0.147235,0.355954,0.395496,0.000008,0,0,0,false
0.000039,0.000397,0.000755,0.000872,0.001426,0.003177,0.004805,0.005547,0.005264,0.006087,0.007054,0.007516,0.006686,0.004222,0.004287,0.003994,0.005599,0.006123,0.004375,0.004209,0.004248,0,0.005687,0.004964,0.005492,0.006419,0.008262,0.003314,0.002529,0.002376,0.002409,0.002699,0.006452,0,0.006374,0.007038,0.005407,0.005996,0.001895,0.000026,0.000039,0.000007,0.000062,0.000062,0,0.29081,0.70919,0,0,0,0,0,false
0.000391,0.000944,0.001064,0.001689,0.002995,0.004349,0.004932,0.005381,0.007269,0.009603,0.011406,0.011406,0.010889,0.013011,0.01123,0.00891,0.008418,0.009941,0.007262,0.007422,0.006475,0,0.005882,0.006032,0.006979,0.005661,0.006025,0.003962,0.003561,0.003613,0.003184,0.001022,0.00082,0,0.000531,0.000505,0.000573,0.000583,0.001055,0.00069,0.000553,0.004258,0.002471,0.003382,0,0,0.244683,0.337091,0.249369,0.168857,0,0,false
