@relation obj-clase

@attribute o1 numeric
@attribute o2 numeric
@attribute o3 numeric
@attribute o4 numeric
@attribute o5 numeric
@attribute o6 numeric
@attribute o7 numeric
@attribute o8 numeric
@attribute clase numeric

@data
0,1,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,8
0,0,0,0,0,1,0,0,1
0,1,1,1,0,0,1,0,7
0,1,0,1,0,0,0,0,9
1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,2
0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3
0,1,0,0,0,0,0,0,9
0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,8
0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,6
0,0,0,0,0,1,0,0,2
0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,3
0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,5
0,1,0,1,0,0,1,1,4
0,1,0,0,0,0,0,0,8
0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,5
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2
0,0,0,1,0,0,0,1,4
0,0,0,0,0,0,0,0,5
0,1,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,6
0,0,0,1,0,0,0,0,9
0,1,1,0,0,0,0,0,4
0,1,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,6
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,3
0,1,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,5
0,1,0,1,0,0,0,0,7
1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,5
0,1,0,1,0,0,1,0,3
0,1,1,0,0,0,0,0,7
0,0,0,0,1,0,0,0,6
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,4
1,0,0,0,0,0,0,0,10
0,1,0,1,0,0,1,0,3
0,1,0,0,0,0,0,0,8
0,1,1,0,0,0,1,0,7
1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,6
